log_mono_ns,lat,lon,speed_mps,actual_steer_angle_deg
500000000.0,35.182350467172256,-97.43557295293998,0.06479316445323387,1.7
510000000.0,35.18235055872561,-97.43557321095399,0.06575031318738885,1.7
520000000.0,35.18235065027897,-97.43557346896799,0.06670746192154384,1.7
530000000.0,35.18235074183232,-97.435573726982,0.06766461065569881,1.7
540000000.0,35.182350833385684,-97.43557398499601,0.0686217593898538,1.7
550000000.0,35.18235092493904,-97.43557424301001,0.0695789081240088,1.7
560000000.0,35.1823510164924,-97.43557450102402,0.07053605685816378,1.7
570000000.0,35.18235110804575,-97.43557475903802,0.07149320559231877,1.7
580000000.0,35.18235119959911,-97.43557501705203,0.07245035432647375,1.7
590000000.0,35.182351291152465,-97.43557527506604,0.07340750306062874,1.7
600000000.0,35.182351382705825,-97.43557553308004,0.07436465179478371,1.7
610000000.0,35.18235147425918,-97.43557579109405,0.0753218005289387,1.7
620000000.0,35.18235156581254,-97.43557604910806,0.07627894926309368,1.7
630000000.0,35.18235165736589,-97.43557630712206,0.07723609799724868,1.7
640000000.0,35.18235174891925,-97.43557656513607,0.07819324673140365,1.7
650000000.0,35.18235184047261,-97.43557682315007,0.07915039546555865,1.7
660000000.0,35.182351932025966,-97.43557708116408,0.08010754419971364,1.7
670000000.0,35.18235202357933,-97.4355773391781,0.08106469293386862,1.7
680000000.0,35.18235211513268,-97.4355775971921,0.0820218416680236,1.7
690000000.0,35.18235220668604,-97.4355778552061,0.08297899040217858,1.7
700000000.0,35.182352298239394,-97.43557811322012,0.08393613913633358,1.7
710000000.0,35.182352389792754,-97.43557837123412,0.08489328787048855,1.7
720000000.0,35.18235229616494,-97.435578405465,0.08508197504205797,1.7
730000000.0,35.18235217930075,-97.43557841161575,0.08517423624919518,1.7
740000000.0,35.18235206243656,-97.4355784177665,0.08526649745633239,1.7
750000000.0,35.18235194557236,-97.43557842391724,0.08535875866346959,1.7
760000000.0,35.182351828708164,-97.43557843006799,0.0854510198706068,1.7
770000000.0,35.182351711843964,-97.43557843621873,0.085543281077744,1.7
780000000.0,35.18235159497977,-97.43557844236949,0.08563554228488121,1.7
790000000.0,35.18235147811558,-97.43557844852023,0.08572780349201842,1.7
800000000.0,35.18235136125138,-97.43557845467097,0.08582006469915562,1.7
810000000.0,35.182351244387185,-97.43557846082173,0.08591232590629283,1.7
820000000.0,35.182351127522985,-97.43557846697247,0.08600458711343004,1.7
830000000.0,35.18235101065879,-97.43557847312321,0.08609684832056724,1.7
840000000.0,35.1823508937946,-97.43557847927397,0.08618910952770446,1.7
850000000.0,35.1823507769304,-97.43557848542471,0.08628137073484167,1.7
860000000.0,35.182350660066206,-97.43557849157546,0.08637363194197888,1.7
870000000.0,35.18235054320201,-97.43557849772621,0.08646589314911608,1.7
880000000.0,35.18235042633781,-97.43557850387695,0.08655815435625329,1.7
890000000.0,35.18235030947362,-97.4355785100277,0.0866504155633905,1.7
900000000.0,35.18235019260942,-97.43557851617845,0.0867426767705277,1.7
910000000.0,35.18235007574523,-97.4355785223292,0.08683493797766491,1.7
920000000.0,35.182349958881034,-97.43557852847995,0.08692719918480211,1.7
930000000.0,35.18234984201683,-97.4355785346307,0.08701946039193932,1.7
940000000.0,35.18234972515264,-97.43557854078144,0.08711172159907653,1.7
950000000.0,35.18234960828844,-97.43557854693219,0.08720398280621373,1.7
960000000.0,35.18234949142425,-97.43557855308293,0.08729624401335094,1.7
970000000.0,35.182349374560054,-97.43557855923368,0.08738850522048815,1.7
980000000.0,35.182349257695854,-97.43557856538443,0.08748076642762535,1.7
990000000.0,35.18234914083166,-97.43557857153517,0.08757302763476257,1.7
1000000000.0,35.18234902396746,-97.43557857768592,0.08766528884189978,1.7
1010000000.0,35.18234890710327,-97.43557858383667,0.08775755004903699,1.7
1020000000.0,35.182348790239075,-97.43557858998741,0.08784981125617419,1.7
1030000000.0,35.182348673374875,-97.43557859613816,0.0879420724633114,1.7
1040000000.0,35.18234854753575,-97.43557860269047,0.08775785734233055,1.7
1050000000.0,35.1823484065542,-97.4355786099203,0.08710717322950218,1.7
1060000000.0,35.18234826557264,-97.43557861715011,0.0864564891166738,1.7
1070000000.0,35.18234812459108,-97.43557862437994,0.08580580500384541,1.7
1080000000.0,35.182347983609525,-97.43557863160977,0.08515512089101704,1.7
1090000000.0,35.18234784262797,-97.43557863883959,0.08450443677818865,1.7
1100000000.0,35.18234770164641,-97.43557864606942,0.08385375266536027,1.7
1110000000.0,35.18234756066485,-97.43557865329925,0.0832030685525319,1.7
1120000000.0,35.182347419683296,-97.43557866052906,0.08255238443970352,1.7
1130000000.0,35.182347278701734,-97.43557866775889,0.08190170032687515,1.7
1140000000.0,35.18234713772018,-97.4355786749887,0.08125101621404676,1.7
1150000000.0,35.18234699673862,-97.43557868221853,0.08060033210121838,1.7
1160000000.0,35.18234685575706,-97.43557868944836,0.07994964798839001,1.7
1170000000.0,35.182346714775505,-97.43557869667818,0.07929896387556162,1.7
1180000000.0,35.18234657379395,-97.435578703908,0.07864827976273325,1.7
1190000000.0,35.18234643281239,-97.43557871113782,0.07799759564990487,1.7
1200000000.0,35.18234629183083,-97.43557871836765,0.07734691153707648,1.7
1210000000.0,35.18234615084928,-97.43557872559748,0.07669622742424811,1.7
1220000000.0,35.182346009867715,-97.4355787328273,0.07604554331141973,1.7
1230000000.0,35.18234586888616,-97.43557874005712,0.07539485919859135,1.7
1240000000.0,35.182345727904604,-97.43557874728694,0.07474417508576298,1.7
